country,monthly_salary
Switzerland,"5,901.81 $"
Singapore,"4,935.40 $"
United States,"4,177.35 $"
Qatar,"3,991.81 $"
Australia,"3,832.35 $"
Iceland,"3,808.33 $"
United Arab Emirates,"3,558.21 $"
Denmark,"3,526.72 $"
Norway,"3,420.36 $"
Netherlands,"3,394.76 $"
Canada,"3,090.66 $"
New Zealand,"3,012.85 $"
Germany,"2,969.82 $"
Ireland,"2,918.31 $"
Guernsey,"2,915.46 $"
Hong Kong (China),"2,834.30 $"
United Kingdom,"2,827.48 $"
Finland,"2,769.78 $"
Sweden,"2,680.31 $"
Israel,"2,642.97 $"
Belgium,"2,593.98 $"
Japan,"2,586.45 $"
Austria,"2,529.32 $"
France,"2,482.03 $"
South Korea,"2,368.23 $"
Oman,"2,083.19 $"
Kuwait,"2,079.49 $"
Bahrain,"2,076.09 $"
Saudi Arabia,"1,957.63 $"
Spain,"1,840.23 $"
Puerto Rico,"1,721.56 $"
Italy,"1,680.87 $"
Czech Republic,"1,533.22 $"
Taiwan (China),"1,529.56 $"
Cyprus,"1,419.98 $"
Estonia,"1,367.48 $"
Malta,"1,363.98 $"
South Africa,"1,294.29 $"
Slovenia,"1,288.73 $"
Lithuania,"1,148.11 $"
China,"1,098.73 $"
Poland,"1,071.74 $"
Portugal,"1,070.93 $"
Croatia,"1,038.13 $"
Slovakia,"1,029.86 $"
Latvia,"1,026.22 $"
Malaysia,925.32 $
Uruguay,900.18 $
Greece,883.56 $
Hungary,872.30 $
Costa Rica,837.84 $
Bulgaria,808.79 $
Trinidad And Tobago,785.51 $
Romania,779.35 $
Panama,770.50 $
Palestine,717.82 $
Russia,682.61 $
Mexico,680.42 $
Chile,676.47 $
Montenegro,654.07 $
Jordan,636.64 $
Bosnia And Herzegovina,622.67 $
Jamaica,602.42 $
Serbia,598.81 $
Lebanon,584.58 $
Thailand,570.42 $
India,564.74 $
Iraq,553.87 $
Armenia,543.43 $
Belarus,509.95 $
Ecuador,500.50 $
Mauritius,491.00 $
Guatemala,486.26 $
Kazakhstan,465.59 $
Georgia,464.35 $
Vietnam,449.53 $
Bolivia,448.09 $
North Macedonia,446.20 $
Albania,433.37 $
Kosovo (Disputed Territory),424.92 $
Argentina,423.96 $
Peru,421.77 $
Moldova,417.13 $
El Salvador,398.21 $
Kenya,396.95 $
Brazil,392.41 $
Ukraine,388.78 $
Morocco,382.57 $
Turkey,373.08 $
Dominican Republic,370.17 $
Azerbaijan,355.96 $
Indonesia,345.12 $
Iran,311.67 $
Philippines,303.93 $
Colombia,303.56 $
Libya,291.36 $
Tunisia,290.51 $
Uzbekistan,290.25 $
Algeria,265.88 $
Bangladesh,248.59 $
Ethiopia,214.22 $
Nepal,193.72 $
Venezuela,175.99 $
Ghana,172.41 $
Nigeria,157.35 $
Sri Lanka,153.39 $
Pakistan,146.10 $
Egypt,142.37 $
