country,servings,population,total,per_capita_gallon,total_gallon,pool_filled,lake_filled,million_gallon
Mexico,634,127575529,80882885386,39.625,5055180337.0,7659.364146969697,5.055180337,5.055180337
United States,618,329064917,203362118706,38.625,12710132419.0,19257.776392424243,12.710132419,12.710132419
Brazil,280,211049527,59093867560,17.5,3693366722.0,5596.010184848485,3.693366722,3.693366722
Japan,116,126860301,14715794916,7.25,919737182.0,1393.5411848484848,0.919737182,0.919737182
Russia,108,145872256,15754203648,6.75,984637728.0,1491.8753454545454,0.984637728,0.984637728
China,56,1433783686,80291886416,3.5,5018242901.0,7603.398334848484,5.018242901,5.018242901
Nigeria,49,200963599,9847216351,3.0625,615451022.0,932.5015484848485,0.615451022,0.615451022
Pakistan,49,216565318,10611700582,3.0625,663231286.0,1004.8958878787879,0.663231286,0.663231286
Indonesia,18,270625568,4871260224,1.125,304453764.0,461.2935818181818,0.304453764,0.304453764
India,18,1366417754,24595519572,1.125,1537219973.0,2329.121171212121,1.537219973,1.537219973
